question,answer
"A decoder-only transformer computes attention scores as a (T, T) matrix for a sequence of length T. What is the ""causal mask"" and why is it needed for training a language model to predict the next token?","The causal mask sets the score for every (query position i, key position j) pair with j > i to negative infinity before the softmax, so position i's attention weights over future positions become exactly 0. It is needed because during training every position in a sequence is used simultaneously as a prediction target (predict token i+1 from tokens 0..i); without the mask, position i could attend to position i+1 and beyond, letting the model 'see the answer' and making the training objective trivial and useless at inference time, when future tokens genuinely do not exist yet."
"A model has n_embd = 768 (the width of its hidden vectors) and n_head = 12 attention heads. Q, K and V are each projected to width n_embd and then split evenly across the heads. What is head_dim, the width of the vector each head operates on?","head_dim = n_embd / n_head = 768 / 12 = 64. Each of the 12 heads works on a 64-dimensional slice of the 768-dimensional vector."
"Write the formula for scaled dot-product attention given query matrix Q, key matrix K and value matrix V, and explain in one sentence why the scores are divided by sqrt(d_k) before the softmax (d_k = the dimension of each query/key vector).","Attention(Q, K, V) = softmax(Q @ K^T / sqrt(d_k)) @ V. The division by sqrt(d_k) is needed because the dot product of two random d_k-dimensional vectors has variance that grows linearly with d_k, so without scaling, the raw scores would have large magnitude for large d_k, pushing the softmax into a saturated region with near-zero gradients almost everywhere; dividing by sqrt(d_k) keeps the scores at a roughly constant variance regardless of dimension."
"In multi-head attention, a batch has B=4 sequences, H=8 heads, and sequence length T=512. What is the shape of the attention score tensor (before or after masking/softmax), and how many individual score values does it contain in total?","The score tensor has shape (B, H, T, T) = (4, 8, 512, 512). The total number of values is 4 * 8 * 512 * 512 = 8,388,608."
"Explain the difference between standard Multi-Head Attention (MHA) and Grouped-Query Attention (GQA). What problem does GQA solve, and what is Multi-Query Attention (MQA) in relation to it?","In standard MHA, every query head has its own dedicated key and value projection, so there are n_head separate K/V heads. In GQA, the n_head query heads are divided into groups, and all query heads within a group share one common key/value head, so there are n_kv_head < n_head key/value heads (each query head still has its own Q projection). MQA is the extreme case of GQA where n_kv_head = 1, i.e. every query head shares a single key/value head. GQA/MQA solve the problem of KV-cache memory and memory-bandwidth cost during autoregressive inference: the K/V cache size scales with n_kv_head rather than n_head, so reducing the number of distinct KV heads shrinks the cache and speeds up generation, at some cost to model quality compared to full MHA."
"A model uses Grouped-Query Attention with n_head = 32 query heads and n_kv_head = 8 key/value heads. How many query heads share each single key/value head?","32 / 8 = 4 query heads share each key/value head."
"What problem does Rotary Positional Embedding (RoPE) solve, and what is the key mathematical property that makes it different from adding a learned or sinusoidal positional embedding vector to the token embedding?","RoPE injects positional information into attention so the model knows the order and relative distance of tokens, since without any positional signal the attention mechanism is permutation-invariant (a bag of tokens). Instead of adding a position vector to the embedding, RoPE rotates each pair of dimensions of the query and key vectors by an angle proportional to the token's position and a per-pair frequency. Its key property is that the dot product of a rotated query at position m and a rotated key at position n depends only on the relative distance (m - n), not on the absolute positions m and n individually, which lets attention scores encode relative distance directly and helps the model generalize to sequence lengths not seen during training."
"RoPE splits a head_dim = 4 vector into 2 pairs of dimensions, and computes an inverse frequency for pair index i (i = 0, 1) as inv_freq[i] = 1 / (base ^ (2i / head_dim)), with base = 10000. Compute inv_freq[0] and inv_freq[1].","inv_freq[0] = 1 / (10000 ^ (0/4)) = 1 / (10000^0) = 1 / 1 = 1.0. inv_freq[1] = 1 / (10000 ^ (2/4)) = 1 / (10000^0.5) = 1 / 100 = 0.01. So the first pair rotates 100x faster per position step than the second pair -- low pair indices carry fine-grained/local position information and high pair indices carry coarse/long-range position information."
"What is the difference between Pre-Norm and Post-Norm placement of normalization layers in a transformer block, and why do most modern large language models use Pre-Norm?","In Post-Norm (the original 2017 Transformer design), the normalization is applied AFTER the residual addition: x = norm(x + sublayer(x)). In Pre-Norm, normalization is applied to the input BEFORE it enters the sublayer, and the sublayer's output is added to the UN-normalized residual stream: x = x + sublayer(norm(x)). Most modern LLMs use Pre-Norm because it leaves an unbroken, unscaled identity path (the residual stream) from the embedding layer all the way to the output, so gradients can flow through the whole network depth without being repeatedly rescaled by normalization; this makes very deep networks much easier to train and typically removes the need for a learning-rate warmup that Post-Norm models require to avoid diverging early in training."
"Write the formula for RMSNorm applied to a vector x with n elements, and state one concrete way it differs from standard LayerNorm.","RMSNorm(x) = x / sqrt(mean(x^2) + eps), where mean(x^2) is the average of the squared elements of x and eps is a small constant (e.g. 1e-6) added for numerical stability. Unlike LayerNorm, which first subtracts the mean of x (centering) and then divides by the standard deviation, RMSNorm does NOT subtract the mean at all -- it only rescales by the root-mean-square of the vector, making it cheaper to compute (one fewer reduction) while empirically working about as well for transformers."
"Apply RMSNorm (no learned gain, eps = 0) to the 2-element vector x = [3, 4]. Show the arithmetic and the resulting vector.","Square the elements: [9, 16]. Mean of squares: (9 + 16) / 2 = 12.5. Square root: sqrt(12.5) = 3.5355. Divide x by that: [3 / 3.5355, 4 / 3.5355] = [0.8485, 1.1314]. Check: the root-mean-square of the output is sqrt((0.8485^2 + 1.1314^2)/2) = sqrt((0.72 + 1.28)/2) = sqrt(1.0) = 1.0, confirming the output has RMS exactly 1."
"Why do residual (skip) connections of the form y = x + f(x) help very deep neural networks train successfully, compared to a network with no residual connections?","When backpropagating the gradient of the loss through y = x + f(x), the gradient splits into two paths: one flows through f(x) (which may involve many layers of multiplication by weight matrices and nonlinearities, and can shrink or blow up), and one flows straight through the identity term x, unchanged (its local derivative is exactly 1). Stacking many such blocks creates a direct, unimpeded 'highway' from the output loss back to every earlier layer's input, so gradients do not have to survive a long chain of repeated multiplications through every intermediate transformation to reach early layers. Without residual connections, gradients in a very deep network are typically multiplied by many Jacobians in sequence, causing them to vanish (shrink toward zero) or explode, which makes training deep stacks of layers extremely difficult or impossible."
